               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10204,            0.013346,                   0,             0.65908,             0.15254,             0.27012,            0.091107,            0.072925,           0.0093294,                   0,            0.070476,           0.0032804,           0.0032804
                   1,            0.066271,            0.014453,                   0,             0.64573,              0.4634,             0.52463,             0.16536,            0.058538,           0.0082933,                   0,            0.040258,           0.0063955,           0.0063955
                   2,            0.055927,            0.013848,                   0,             0.80689,             0.54295,             0.68242,              0.2791,            0.048551,           0.0082557,                   0,           0.0098197,           0.0092906,           0.0092906
                   3,            0.049641,            0.012968,                   0,             0.81079,             0.71186,             0.77671,             0.34434,             0.04238,           0.0073235,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.044363,            0.011314,                   0,             0.91876,             0.76271,             0.84987,             0.38449,             0.03657,           0.0066019,                   0,             0.00901,             0.00901,             0.00901
                   5,             0.04032,           0.0096161,                   0,             0.93659,             0.77966,             0.86516,             0.39141,            0.040054,           0.0054966,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.038214,           0.0082687,                   0,             0.97479,             0.80226,             0.89314,             0.44857,            0.036006,            0.005015,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.037082,           0.0076083,                   0,             0.94182,             0.82305,             0.88773,             0.44074,            0.036304,           0.0047782,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.035224,           0.0070657,                   0,             0.93331,             0.79071,             0.90012,             0.55464,            0.033776,           0.0043682,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.033789,           0.0064392,                   0,              0.9274,             0.86609,              0.9217,             0.56829,            0.031326,            0.004301,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.033356,           0.0063505,                   0,             0.93434,             0.87006,             0.92552,             0.57151,            0.032412,           0.0039731,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.031897,           0.0061285,                   0,             0.95932,             0.86441,               0.931,             0.59255,            0.028185,           0.0040364,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.030936,             0.00584,                   0,             0.93056,             0.90848,             0.93471,             0.58278,            0.028887,           0.0037568,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.029704,           0.0058297,                   0,             0.93009,              0.9209,             0.93883,             0.62983,            0.027561,             0.00346,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.029399,           0.0056361,                   0,              0.9756,             0.90377,             0.93895,             0.63752,            0.026547,           0.0035623,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.028808,           0.0053002,                   0,             0.96481,             0.92945,             0.94426,             0.59961,            0.027768,           0.0033864,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.028078,           0.0055105,                   0,             0.97618,              0.9096,             0.94036,              0.6116,            0.027839,           0.0033004,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.027631,           0.0053046,                   0,             0.95365,             0.92991,             0.94558,             0.63443,            0.026408,           0.0032064,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.026177,           0.0049693,                   0,             0.97164,             0.92655,             0.94935,              0.6627,            0.026694,           0.0031532,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.025991,           0.0052446,                   0,             0.97603,             0.92655,             0.94905,             0.63036,            0.026497,           0.0032381,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.025688,           0.0050693,                   0,             0.96501,              0.9348,             0.94961,             0.65474,            0.025819,           0.0031751,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.024322,            0.004989,                   0,             0.95644,             0.92655,             0.95072,             0.65575,            0.025291,           0.0031656,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.024024,           0.0049589,                   0,             0.98369,             0.91525,             0.94764,             0.66469,            0.025215,           0.0029999,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.023506,           0.0045576,                   0,             0.98918,             0.91525,             0.94919,             0.65502,             0.02595,           0.0033132,                   0,             0.00274,             0.00274,             0.00274
                  24,             0.02334,           0.0049242,                   0,              0.9792,              0.9209,             0.94876,             0.67187,            0.024226,           0.0030034,                   0,             0.00241,             0.00241,             0.00241
                  25,             0.02303,           0.0047829,                   0,             0.97031,             0.92329,              0.9519,             0.64909,            0.025103,           0.0029969,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.022652,           0.0045213,                   0,             0.99991,              0.9096,             0.95011,              0.6544,            0.024616,           0.0029532,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.021867,           0.0046087,                   0,             0.99394,             0.92639,             0.94808,             0.66185,            0.024653,           0.0029572,                   0,             0.00142,             0.00142,             0.00142
                  28,             0.02213,            0.004678,                   0,             0.99028,             0.91525,             0.95039,             0.67467,            0.023897,           0.0029812,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.021589,           0.0048202,                   0,             0.99349,              0.9209,             0.95206,             0.66579,            0.024298,           0.0029871,                   0,             0.00076,             0.00076,             0.00076
